id,,,DH01,DH02,DH03,DH04,DH05,DH06,DH07,DH08,DH09,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH17,DH18,DH19,DH20,DH21,DH22,DH23,DH24,DH25,DH26,DH27,DH28,DH29,DH30,DH31,DH32,DH33,DH34,DH35,DH36,DH37,DH38,DH39,DH40,DH41,DH42,DH43,DH44,DH45,DH46,DH47,DH48,DH49,DH50,DH51,DH52,DH53,DH54,DH55,DH56,DH57,DH58,DH59,DH60,DH61,DH62,DH63,DH64,DH65,DH66,DH67,DH68,DH69,DH70,DH71,DH72,DH73,DH74,DH75,DH76,DH77,DH78,DH79,DH80,DH81,DH82,DH83,DH84,DH85,DH86,DH87,DH88,DH89,DH90,DH91,DH92,DH93
wmc469,1A1,0,B,A,B,-,B,B,B,A,A,B,A,A,A,A,B,B,B,A,-,A,B,-,B,A,A,B,A,A,A,B,B,A,B,A,A,B,B,A,A,A,B,B,B,B,B,A,B,-,A,B,B,A,A,A,A,-,B,A,B,A,A,B,A,B,A,A,B,A,A,B,A,B,B,B,-,B,A,A,A,A,A,B,A,B,B,A,B,B,A,B,B,A,A
wPt.5914,1A1,6.4191,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,B,A,A,B,A,A,B,B,B,A,B,A,A,B,A,A,-,A,B,B,B,B,B,A,B,B,A,B,B,A,-,A,B,A,B,A,B,A,A,B,A,B,A,A,B,A,A,B,A,B,B,B,A,B,A,A,A,A,A,-,A,B,B,A,B,B,B,B,B,A,-
wPt.8986,1A1,6.4191,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,B,A,A,B,-,A,B,B,B,A,B,A,A,B,A,A,-,A,B,B,B,B,B,A,B,B,-,B,B,A,A,A,B,A,B,-,B,A,A,B,-,B,-,A,B,-,-,B,-,B,B,B,A,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,-
wPt.6116,1A1,6.4191,B,A,B,B,A,B,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,B,A,A,B,-,A,B,B,B,A,B,A,-,B,A,A,-,A,B,B,B,B,B,A,B,B,-,B,-,A,A,A,B,A,B,A,B,A,A,B,A,B,A,A,B,-,A,B,A,B,B,B,A,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,-
gwm357,1A1,6.4191,-,A,B,B,A,B,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,B,A,A,B,A,A,B,B,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,A,B,B,-,B,B,A,A,-,B,-,B,A,-,A,A,B,A,B,A,A,-,A,A,-,A,B,B,B,A,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,A
wPt.0751,1A1,7.7179,-,A,B,B,A,B,B,B,-,B,A,A,A,A,B,-,B,A,A,A,B,A,B,-,A,B,A,A,B,B,B,-,B,A,-,B,A,A,A,-,B,B,B,B,B,A,B,B,A,B,B,A,A,A,B,A,B,A,B,A,A,B,A,B,-,A,B,A,A,B,A,B,B,B,A,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,-
P42.M49.235,1A1,17.3365,A,A,B,B,A,B,B,B,B,B,A,A,A,A,B,-,B,A,A,A,-,A,B,A,A,B,A,A,B,B,B,A,B,A,A,B,A,A,A,A,B,B,B,-,B,A,A,A,A,B,B,A,A,A,B,A,B,A,B,A,A,A,A,B,A,A,B,A,B,B,-,A,B,B,A,B,A,A,A,A,A,A,A,B,B,A,B,-,A,B,A,A,-
bcd304C,1A2,0,A,B,B,A,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,B,A,B,A,B,B,A,A,A,A,B,B,-,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,B,A,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,-,A,-,-,A,A,B,B,A,B,B,A,A,A,B,B,B,B,B
P31.M55.148,1A2,31.7994,A,-,B,A,A,A,A,B,B,B,A,B,A,A,B,A,A,A,A,A,B,B,B,A,A,B,A,B,A,B,B,A,A,A,A,B,B,B,B,A,A,A,A,B,A,A,B,A,B,B,B,A,A,B,B,B,A,-,B,-,B,B,B,B,A,B,B,A,A,A,A,B,B,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,B,B,B,-,B
barc213,1A2,41.9608,A,B,B,A,A,A,A,B,B,-,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,B,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,B,-,A,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,B,B,B,B,B
P34.M48.83,1A2,43.1103,A,B,B,A,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,B,A,B,B,B,A,B,A,B,B,B,A,A,A,A,A,A,A,A,-,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,B,-,B,B,-
wPt.0619,1A2,44.3008,A,B,B,A,A,A,A,B,B,-,B,B,A,A,B,-,A,A,A,A,B,B,A,A,A,B,A,B,-,B,B,B,-,A,A,B,B,B,-,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,B,B,B,B,-
wPt.2866,1A2,44.3008,A,B,-,A,A,-,-,B,B,-,B,B,A,A,B,A,A,-,A,A,B,B,A,A,A,B,A,B,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,-,-,B,B,B,B,A,B,-,B,-,A,B,B,-,B,-,-,A,B,B,B,A,A,A,B,B,A,B,A,A,A,-,A,B,-,A,B,B,A,A,A,B,B,B,B,-
gwm99,1A2,49.7115,A,A,A,A,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,A
wPt.6575,1A2,54.911,A,B,-,A,A,A,A,B,B,-,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,B,A,-,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,-,-,B,B,A,B,-,B,B,A,-,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,-,-,-,-,-
bcd304a,1A2,54.911,A,B,B,A,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,A,B,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,-,B,B,B,B,-,B,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,A,B,B,A,B,B,A,A,A,B,B,B,B,B
wmc59,1A2,60.8002,A,B,B,A,A,A,A,B,B,A,B,B,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,B,B,A,A,A,B,B,B,A,A,A,B,A,A,A,B,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,A,B,-,A,B,B,A,A,A,A,B,B,B,B
wPt.5934,1A2,67.5673,A,B,B,A,A,A,A,A,-,A,B,-,A,A,-,A,A,-,A,A,B,A,A,A,A,B,A,B,A,B,-,B,A,A,A,-,-,B,A,A,A,B,A,A,A,B,A,-,B,B,B,A,A,A,B,B,B,B,A,B,B,B,B,B,A,B,B,B,A,-,A,-,B,B,B,A,A,-,A,-,B,B,A,B,B,A,A,A,A,B,B,B,-
